# parameter: Mean temperature
# unit: 0,1 °C
# source: http://www.zamg.ac.at/histalp
# csv-generated: 2014-03-07T18:41:32Z
# station: Innsbruck-Universität
# abbr: INN
# country_code: AT
# longitude: 11.3850
# latitude: 47.2610
# height: 609.0
# height-unit: m
# missing-value: 999999
#--------------------------------------
year;jan;feb;mar;apr;may;jun;jul;aug;sep;oct;nov;dec;mar-may;jun-aug;sep-nov;dec-feb;apr-sep;oct-mar;jan-dec
1760;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999
1761;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999
1762;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999
1763;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999
1764;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999
1765;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999
1766;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999
1767;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999
1768;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999
1769;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999
1770;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999
1771;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999
1772;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999
1773;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999
1774;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999
1775;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999
1776;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999
1777;-33;-11;63;68;133;160;178;183;137;97;34;-49;88;174;89;-21;143;21;80
1778;-8;-5;55;105;151;161;193;186;124;82;31;-18;104;180;79;-32;153;11;88
1779;-88;9;51;120;155;143;173;176;155;108;28;10;109;164;97;-33;154;18;87
1780;-73;-37;71;61;143;178;178;186;150;104;4;-47;92;181;86;-16;149;19;77
1781;-13;12;51;107;142;172;180;192;150;67;31;-1;100;181;83;-16;157;13;91
1782;-13;-35;31;90;121;174;185;164;124;71;-13;-16;81;174;61;6;143;19;74
1783;8;26;40;92;141;154;190;168;145;101;31;-42;91;171;92;-44;148;5;88
1784;-49;-41;28;53;151;164;176;158;161;44;17;-46;77;166;74;-34;144;-12;68
1785;-30;-26;-32;39;120;134;160;143;156;79;26;-20;42;146;87;-14;125;15;62
1786;-16;-7;27;92;114;172;146;147;115;63;-2;-23;78;155;59;-18;131;11;69
1787;-38;7;57;64;105;169;161;185;129;98;29;12;75;172;85;10;136;36;82
1788;-8;25;60;85;128;174;189;149;159;75;-1;-106;91;171;78;-43;147;-10;77
1789;-42;20;-5;102;162;137;159;152;121;86;17;-18;86;149;75;-5;139;20;74
1790;-17;20;34;74;153;171;165;175;133;102;35;-24;87;170;90;-1;145;31;85
1791;6;14;50;124;136;155;172;190;131;88;20;0;103;172;80;-5;151;25;91
1792;-14;-2;60;113;127;177;191;187;145;92;28;-5;100;185;88;-5;157;25;92
1793;-38;27;47;70;135;159;205;185;132;111;44;2;84;183;96;5;148;41;90
1794;-12;26;76;127;140;165;198;168;128;83;38;-33;114;177;83;-36;154;9;92
1795;-79;4;38;106;137;167;158;179;150;127;21;3;94;168;99;18;150;37;84
1796;31;20;22;76;136;161;169;174;159;101;28;-38;78;168;96;-8;146;23;87
1797;-6;19;35;110;174;161;204;194;152;92;46;8;106;186;97;-9;166;23;99
1798;-29;-6;27;94;129;158;171;176;140;71;16;-50;83;168;76;-35;145;2;75
1799;-52;-3;29;73;119;141;160;174;132;87;23;-71;74;158;81;-26;133;7;68
1800;-12;6;10;142;154;134;172;166;141;75;36;-8;102;157;84;-6;152;25;85
1801;-20;10;57;98;149;143;170;152;158;111;50;-17;101;155;106;-33;145;18;88
1802;-70;-12;48;85;125;173;168;192;138;117;30;-12;86;178;95;-20;147;21;82
1803;-25;-24;37;115;114;152;183;179;120;84;32;-7;89;171;79;1;144;25;80
1804;21;-11;30;86;150;174;183;177;146;94;24;-31;89;178;88;-19;153;16;87
1805;-32;5;33;74;117;147;161;149;139;59;-15;-40;75;152;61;-7;131;11;66
1806;-1;21;43;62;170;170;173;168;142;86;52;19;92;170;93;-10;148;18;92
1807;-51;1;-2;65;152;165;203;213;138;108;88;-38;72;194;111;-36;156;11;87
1808;-35;-34;-24;63;165;151;195;190;151;67;38;-67;68;179;85;-7;153;22;72
