# parameter: Mean station level pressure
# unit: 0,1 hpa
# source: http://www.zamg.ac.at/histalp
# csv-generated: 2014-03-07T18:56:07Z
# station: Wien-Hohe Warte
# abbr: WIE
# country_code: AT
# longitude: 16.3560
# latitude: 48.2490
# height: 209.0
# height-unit: m
# missing-value: 999999
#--------------------------------------
year;jan;feb;mar;apr;may;jun;jul;aug;sep;oct;nov;dec;mar-may;jun-aug;sep-nov;dec-feb;apr-sep;oct-mar;jan-dec
1760;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999
1761;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999
1762;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999
1763;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999
1764;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999
1765;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999
1766;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999
1767;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999
1768;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999
1769;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999
1770;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999
1771;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999
1772;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999
1773;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999
1774;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999
1775;9988;9964;9917;9935;9931;9922;9922;9929;9932;9946;9896;9995;9928;9924;9925;9932;9929;9929;9940
1776;9890;9910;9937;9961;9892;9918;9924;9934;9925;9985;9954;9975;9930;9925;9955;9940;9926;9943;9934
1777;9941;9905;9899;9934;9886;9903;9915;9946;9980;9921;9933;9911;9906;9921;9945;9904;9927;9907;9923
1778;9893;9908;9873;9866;9920;9924;9922;9947;9932;9844;9945;9948;9886;9931;9907;10025;9919;9979;9910
1779;10062;10065;10008;9963;9923;9873;9894;9954;9936;9974;9860;9822;9965;9907;9923;9859;9924;9902;9945
1780;9868;9888;10000;9843;9928;9914;9926;9925;9937;9930;9904;10022;9924;9922;9924;9958;9912;9940;9924
1781;9967;9885;9931;9919;9892;9869;9926;9916;9848;9943;9887;9968;9914;9904;9893;9939;9895;9904;9913
1782;9905;9943;9778;9823;9883;9972;9903;9920;9941;9880;9889;9955;9828;9932;9903;9913;9907;9891;9899
1783;9878;9905;9841;9951;9914;9885;9925;9922;9923;9939;9934;9983;9902;9911;9932;9923;9920;9916;9917
1784;9918;9867;9855;9862;9946;9909;9939;9937;9960;9959;9943;9860;9888;9928;9954;9908;9926;9925;9913
1785;9980;9885;9921;9947;9923;9936;9895;9896;9916;9948;9922;9938;9930;9909;9929;9948;9919;9928;9926
1786;9957;9950;9853;9887;9915;9899;9920;9911;9917;9966;9908;9894;9885;9910;9930;9904;9908;9918;9915
1787;9867;9951;9920;9887;9921;9890;9934;9941;9933;9905;9913;9909;9909;9922;9917;9910;9918;9900;9914
1788;9957;9863;9850;9942;9940;9890;9933;9923;9936;9952;9986;9864;9911;9915;9958;9896;9927;9908;9920
1789;9943;9882;9823;9885;9913;9921;9900;9926;9938;9904;9883;9976;9874;9916;9908;9995;9914;9962;9908
1790;10002;10008;10000;9881;9888;9932;9894;9940;9934;9938;9935;9918;9923;9922;9936;9906;9912;9928;9939
1791;9875;9925;9976;9895;9904;9891;9908;9953;9951;9869;9935;9887;9925;9917;9918;9907;9917;9908;9914
1792;9891;9942;9922;9939;9915;9904;9877;9893;9896;9941;9970;9876;9925;9891;9936;9924;9904;9935;9914
1793;9964;9933;9927;9892;9899;9914;9930;9938;9944;9956;9956;9956;9906;9927;9952;9954;9920;9962;9934
1794;9961;9944;9996;9946;9913;9897;9919;9931;9890;9905;9903;9943;9952;9916;9899;9909;9916;9902;9929
1795;9908;9875;9877;9897;9929;9879;9884;9928;9981;9924;9898;9957;9901;9897;9934;9918;9916;9916;9911
1796;9956;9842;9918;9916;9869;9944;9910;9936;9923;9927;9895;9902;9901;9930;9915;9982;9916;9947;9912
1797;10011;10034;9910;9859;9910;9887;9934;9929;9906;9914;9950;9935;9893;9917;9923;9940;9904;9928;9932
1798;9934;9950;9884;9930;9920;9929;9904;9970;9948;9964;9890;9939;9911;9934;9934;9939;9934;9927;9930
1799;9988;9890;9893;9841;9881;9913;9890;9931;9923;9922;9973;9920;9872;9911;9939;9909;9897;9922;9914
