# parameter: Mean station level pressure
# unit: 0,1 hpa
# source: http://www.zamg.ac.at/histalp
# csv-generated: 2014-03-07T19:02:53Z
# station: Basel / Binningen
# abbr: BAS
# country_code: CH
# longitude: 7.5833
# latitude: 47.5408
# height: 316.0
# height-unit: m
# missing-value: 999999
#--------------------------------------
year;jan;feb;mar;apr;may;jun;jul;aug;sep;oct;nov;dec;mar-may;jun-aug;sep-nov;dec-feb;apr-sep;oct-mar;jan-dec
1760;9767;9788;9808;9819;9770;9771;9821;9801;9811;9781;9780;9819;9799;9798;9791;9865;9799;9829;9795
1761;9917;9858;9818;9789;9790;9771;9831;9801;9781;9751;9740;9769;9799;9801;9757;9798;9794;9772;9801
1762;9837;9788;9748;9799;9780;9801;9821;9781;9811;9721;9810;9869;9776;9801;9781;9805;9799;9794;9797
1763;9807;9738;9818;9789;9750;9771;9791;9811;9791;9821;9820;9729;9786;9791;9811;9765;9784;9789;9786
1764;9767;9798;9798;9739;9810;9801;9801;9781;9841;9801;9770;9769;9782;9794;9804;9761;9796;9764;9790
1765;9757;9758;9728;9789;9780;9801;9801;9781;9841;9771;9810;9789;9766;9794;9807;9818;9799;9799;9784
1766;9877;9788;9758;9759;9770;9801;9791;9831;9851;9811;9820;9789;9762;9808;9827;9771;9801;9786;9804
1767;9747;9778;9768;9779;9780;9801;9791;9801;9821;9821;9830;9779;9776;9798;9824;9785;9796;9807;9791
1768;9747;9828;9838;9789;9780;9781;9801;9801;9781;9791;9760;9839;9802;9794;9777;9778;9789;9781;9795
1769;9777;9718;9798;9749;9780;9801;9821;9801;9811;9811;9780;9839;9776;9808;9801;9821;9794;9794;9791
1770;9817;9808;9708;9709;9740;9801;9811;9821;9801;9761;9740;9779;9719;9811;9767;9768;9781;9754;9775
1771;9717;9808;9718;9769;9790;9801;9831;9801;9791;9821;9880;9759;9759;9811;9831;9725;9797;9762;9791
1772;9707;9708;9698;9759;9780;9841;9811;9801;9781;9841;9790;9829;9746;9818;9804;9818;9796;9819;9779
1773;9807;9818;9828;9779;9770;9771;9811;9811;9811;9841;9760;9749;9792;9798;9804;9761;9792;9776;9796
1774;9727;9808;9768;9759;9760;9791;9831;9811;9781;9861;9750;9859;9762;9811;9797;9838;9789;9821;9792
1775;9827;9828;9798;9819;9810;9781;9801;9801;9781;9811;9760;9859;9809;9794;9784;9771;9799;9781;9806
1776;9717;9738;9798;9789;9780;9791;9801;9801;9781;9831;9810;9819;9789;9798;9807;9778;9791;9789;9788
1777;9777;9738;9758;9799;9760;9801;9801;9831;9841;9791;9840;9759;9772;9811;9824;9768;9806;9782;9791
1778;9767;9778;9758;9739;9800;9821;9821;9841;9801;9741;9810;9849;9766;9828;9784;9901;9804;9854;9794
1779;9907;9948;9868;9839;9800;9771;9791;9821;9821;9831;9740;9759;9836;9794;9797;9775;9807;9792;9825
1780;9757;9808;9858;9739;9820;9821;9821;9791;9801;9781;9780;9889;9806;9811;9787;9835;9799;9821;9806
1781;9817;9798;9858;9769;9780;9761;9831;9801;9801;9841;9780;9819;9802;9798;9807;9815;9791;9807;9805
1782;9807;9818;9778;9699;9760;9841;9811;9781;9821;9781;9790;9849;9746;9811;9797;9805;9786;9786;9795
1783;9757;9808;9728;9839;9740;9791;9821;9811;9791;9831;9820;9799;9769;9808;9814;9768;9799;9779;9795
1784;9767;9738;9718;9749;9840;9811;9821;9821;9821;9811;9810;9729;9769;9818;9814;9761;9811;9784;9786
1785;9807;9748;9798;9839;9800;9831;9791;9781;9791;9841;9790;9769;9812;9801;9807;9795;9806;9792;9799
1786;9797;9818;9738;9749;9800;9791;9821;9801;9801;9831;9760;9759;9762;9804;9797;9828;9794;9812;9789
1787;9887;9838;9798;9779;9790;9781;9791;9831;9811;9781;9790;9769;9789;9801;9794;9778;9797;9771;9804
1788;9837;9728;9718;9849;9810;9771;9831;9811;9801;9851;9860;9749;9792;9804;9837;9771;9812;9789;9801
1789;9787;9778;9708;9759;9790;9781;9801;9811;9811;9751;9760;9859;9752;9798;9774;9881;9792;9837;9783
1790;9867;9918;9868;9749;9770;9821;9791;9821;9831;9791;9780;9819;9796;9811;9801;9798;9797;9806;9819
1791;9757;9818;9868;9759;9790;9781;9801;9831;9821;9751;9780;9739;9806;9804;9784;9771;9797;9772;9791
1792;9747;9828;9788;9809;9800;9791;9791;9791;9781;9781;9840;9789;9799;9791;9801;9808;9794;9802;9795
1793;9837;9798;9768;9759;9790;9811;9821;9821;9821;9851;9770;9769;9772;9818;9814;9811;9804;9816;9801
1794;9837;9828;9838;9809;9790;9781;9811;9801;9781;9781;9780;9809;9812;9798;9781;9778;9796;9777;9804
1795;9797;9728;9768;9759;9830;9771;9791;9811;9841;9791;9790;9859;9786;9791;9807;9818;9801;9804;9795
1796;9837;9758;9788;9789;9760;9821;9791;9811;9801;9801;9760;9779;9779;9808;9787;9858;9796;9817;9791
1797;9877;9918;9768;9729;9790;9771;9821;9811;9781;9781;9820;9819;9762;9801;9794;9838;9784;9816;9807
1798;9817;9878;9778;9789;9800;9811;9791;9831;9791;9831;9750;9779;9789;9811;9791;9798;9802;9786;9804
1799;9837;9778;9738;9699;9760;9801;9791;9811;9791;9791;9830;9769;9732;9801;9804;9751;9776;9772;9783
1800;9717;9768;9758;9769;9780;9801;9841;9821;9781;9831;9770;9759;9769;9821;9794;9781;9799;9794;9783
1801;9817;9768;9818;9799;9760;9821;9771;9811;9791;9791;9770;9719;9792;9801;9784;9771;9792;9782;9786
1802;9827;9768;9818;9819;9800;9801;9811;9851;9831;9791;9730;9769;9812;9821;9784;9755;9819;9764;9801
1803;9707;9788;9798;9799;9800;9841;9831;9821;9841;9831;9720;9769;9799;9831;9797;9788;9822;9774;9796
1804;9777;9818;9728;9729;9810;9851;9761;9811;9851;9781;9790;9749;9756;9808;9807;9755;9802;9772;9788
1805;9727;9788;9798;9759;9780;9811;9801;9811;9831;9771;9900;9759;9779;9808;9834;9765;9799;9784;9795
1806;9737;9798;9738;9779;9770;9841;9791;9801;9831;9801;9800;9789;9762;9811;9811;9805;9802;9799;9790
1807;9837;9788;9778;9789;9790;9831;9801;9811;9791;9811;9730;9829;9786;9814;9777;9821;9802;9804;9799
1808;9797;9838;9818;9789;9810;9801;9811;9781;9781;9781;9780;9739;9806;9798;9781;9755;9796;9772;9794
1809;9717;9808;9808;9729;9790;9801;9781;9801;9771;9851;9780;9759;9776;9794;9801;9805;9779;9797;9783
1810;9857;9798;9738;9759;9750;9821;9791;9811;9821;9801;9720;9779;9749;9808;9781;9778;9792;9786;9787
1811;9807;9748;9858;9739;9780;9801;9811;9811;9811;9791;9830;9779;9792;9808;9811;9785;9792;9782;9797
1812;9797;9778;9718;9769;9780;9821;9811;9811;9841;9721;9780;9799;9756;9814;9781;9835;9806;9811;9786
1813;9847;9858;9858;9789;9780;9791;9781;9821;9821;9751;9780;9779;9809;9798;9784;9771;9797;9764;9805
1814;9697;9838;9738;9789;9770;9801;9811;9821;9831;9781;9770;9779;9766;9811;9794;9788;9804;9789;9786
1815;9757;9828;9818;9759;9790;9771;9811;9811;9821;9801;9810;9799;9789;9798;9811;9781;9794;9787;9798
1816;9757;9788;9768;9729;9760;9771;9751;9801;9811;9781;9770;9789;9752;9774;9787;9815;9771;9797;9773
1817;9817;9838;9788;9839;9750;9801;9801;9791;9811;9791;9870;9719;9792;9798;9824;9778;9799;9794;9801
1818;9837;9778;9768;9739;9750;9821;9821;9801;9791;9811;9810;9839;9752;9814;9804;9808;9787;9806;9797
1819;9827;9758;9788;9759;9770;9801;9801;9791;9821;9771;9740;9759;9772;9798;9777;9791;9791;9776;9782
1820;9797;9818;9768;9779;9790;9811;9801;9801;9821;9741;9780;9809;9779;9804;9781;9835;9801;9794;9793
1821;9807;9888;9738;9739;9790;9791;9811;9811;9811;9821;9840;9759;9756;9804;9824;9828;9792;9836;9801
1822;9837;9888;9868;9789;9780;9821;9781;9801;9801;9771;9820;9819;9812;9801;9797;9751;9796;9767;9815
1823;9737;9698;9758;9759;9810;9771;9791;9821;9811;9761;9850;9789;9776;9794;9807;9795;9794;9789;9780
1824;9827;9768;9738;9779;9780;9771;9821;9801;9801;9751;9780;9829;9766;9798;9777;9858;9792;9822;9787
1825;9877;9868;9828;9809;9790;9791;9811;9791;9791;9821;9760;9719;9809;9798;9791;9795;9797;9792;9805
1826;9807;9858;9788;9809;9760;9841;9801;9821;9801;9801;9740;9789;9786;9821;9781;9778;9806;9774;9801
1827;9757;9788;9768;9789;9750;9781;9841;9801;9811;9761;9810;9819;9769;9808;9794;9801;9796;9791;9790
1828;9837;9748;9768;9759;9760;9811;9761;9781;9801;9841;9810;9849;9762;9784;9817;9788;9779;9789;9794
1829;9697;9818;9718;9699;9780;9801;9791;9801;9761;9811;9800;9809;9732;9798;9791;9785;9772;9802;9774
