# parameter: Mean temperature
# unit: 0,1 °C
# source: http://www.zamg.ac.at/histalp
# csv-generated: 2014-03-07T19:03:40Z
# station: Bern / Zollikofen
# abbr: BER
# country_code: CH
# longitude: 7.4639
# latitude: 46.9906
# height: 553.0
# height-unit: m
# missing-value: 999999
#--------------------------------------
year;jan;feb;mar;apr;may;jun;jul;aug;sep;oct;nov;dec;mar-may;jun-aug;sep-nov;dec-feb;apr-sep;oct-mar;jan-dec
1760;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999
1761;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999
1762;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999
1763;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999
1764;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999
1765;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999
1766;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999
1767;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999
1768;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999
1769;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999
1770;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999
1771;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999
1772;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999
1773;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999
1774;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999
1775;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999
1776;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999
1777;-30;-18;61;50;101;140;150;175;130;93;30;-30;71;155;84;-21;124;15;71
1778;-19;-15;31;84;130;140;185;176;107;73;28;16;82;167;69;-21;137;12;78
1779;-89;9;37;99;129;125;158;155;131;98;29;28;88;146;86;-25;133;18;76
1780;-58;-44;53;45;126;153;176;168;133;82;5;-36;75;166;73;-17;134;14;67
1781;-20;6;44;93;135;158;176;176;131;59;25;3;91;170;72;-23;145;6;82
1782;-4;-68;21;53;104;177;196;160;110;46;-18;-46;59;178;46;-8;133;4;61
1783;8;13;21;69;125;142;189;159;130;78;22;-19;72;163;77;-35;136;3;78
1784;-48;-37;23;37;144;150;174;145;143;33;13;-54;68;156;63;-40;132;-19;60
1785;-30;-36;-42;41;122;142;161;134;135;64;12;-10;40;146;70;-8;123;10;58
1786;-18;4;9;89;114;163;150;147;113;50;11;-13;71;153;58;-21;129;9;68
1787;-47;-2;52;67;94;155;158;167;127;92;29;22;71;160;83;13;128;35;76
1788;-9;27;51;78;128;151;179;157;143;66;-8;-87;86;162;67;-37;139;-9;73
1789;-38;13;0;84;138;125;152;155;121;68;10;-5;74;144;66;-3;129;17;69
1790;-14;10;35;64;127;156;156;171;118;90;22;1;75;161;77;0;132;24;78
1791;10;-10;31;101;114;151;170;179;122;74;-6;1;82;167;63;-6;140;16;78
1792;-12;-6;46;92;110;151;168;172;112;86;15;-4;83;164;71;-10;134;18;78
1793;-38;13;37;64;106;139;193;184;125;91;28;7;69;172;81;8;135;35;79
1794;-15;33;64;109;119;162;201;165;118;78;34;-42;97;176;77;-44;146;2;86
1795;-93;3;29;98;128;158;153;173;147;107;8;14;85;161;87;12;143;26;77
1796;15;6;3;77;119;148;165;171;152;79;23;-38;66;161;85;-15;139;15;77
1797;-12;5;32;95;138;130;188;181;136;80;35;17;88;166;84;3;145;27;85
1798;-11;2;41;94;135;164;173;172;137;84;28;-32;90;170;83;-16;146;17;82
1799;-33;18;36;55;110;142;166;170;130;80;19;-51;67;159;76;-18;129;10;70
1800;-2;-1;13;115;147;136;176;182;140;66;36;-18;92;165;81;-2;149;24;83
1801;0;11;48;85;128;135;170;166;138;86;39;-3;87;157;88;-26;137;13;84
1802;-69;-6;33;80;122;167;162;199;145;99;29;-9;78;176;91;-28;146;12;79
1803;-38;-36;25;94;99;153;183;185;112;67;33;9;73;174;71;5;138;22;74
1804;28;-22;18;71;138;170;169;162;137;86;29;-30;76;167;84;-26;141;10;80
1805;-44;-3;22;60;102;133;158;153;129;45;-15;-24;61;148;53;4;123;12;60
1806;11;25;29;45;138;162;169;163;125;78;38;19;71;165;80;-6;134;15;84
1807;-42;4;-6;59;143;149;204;208;116;97;29;-37;65;187;81;-34;147;3;77
1808;-29;-37;-7;56;151;141;189;179;133;57;29;-52;67;170;73;-11;142;16;68
