# parameter: Mean station level pressure
# unit: 0,1 hpa
# source: http://www.zamg.ac.at/histalp
# csv-generated: 2014-03-07T19:16:14Z
# station: Hohenpeißenberg
# abbr: HOP
# country_code: DE
# longitude: 11.0200
# latitude: 47.8000
# height: 986.0
# height-unit: m
# missing-value: 999999
#--------------------------------------
year;jan;feb;mar;apr;may;jun;jul;aug;sep;oct;nov;dec;mar-may;jun-aug;sep-nov;dec-feb;apr-sep;oct-mar;jan-dec
1760;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999
1761;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999
1762;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999
1763;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999
1764;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999
1765;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999
1766;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999
1767;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999
1768;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999
1769;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999
1770;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999
1771;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999
1772;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999
1773;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999
1774;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999
1775;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999
1776;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999
1777;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999
1778;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999
1779;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999
1780;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999
1781;9032;8998;9088;9032;9056;9037;9100;9090;9060;9069;9005;9053;9059;9076;9045;9036;9063;9029;9052
1782;9032;9022;8995;8942;9017;9113;9088;9053;9081;9015;8993;9050;8985;9085;9030;9017;9049;9000;9033
1783;8978;9022;8944;9080;9005;9049;9090;9077;9060;9081;9041;9017;9010;9072;9061;8974;9060;8999;9037
1784;8960;8944;8950;8975;9107;9070;9084;9077;9093;9033;9038;8927;9011;9077;9055;8966;9068;8992;9022
1785;9032;8938;8986;9056;9050;9085;9048;9041;9066;9078;9020;8987;9031;9058;9055;9010;9058;9013;9032
1786;9020;9022;8950;8999;9050;9049;9066;9056;9048;9063;8972;8978;9000;9057;9028;9044;9045;9033;9023
1787;9088;9065;9033;9001;9016;9029;9037;9081;9053;9028;9050;9011;9017;9049;9044;9008;9036;9010;9041
1788;9047;8967;8956;9067;9058;9022;9079;9058;9053;9082;9074;8938;9027;9053;9070;8983;9056;9006;9033
1789;9020;8992;8929;9002;9050;9025;9051;9068;9057;9006;8987;9083;8994;9048;9017;9101;9042;9065;9023
1790;9090;9129;9095;8986;9018;9072;9034;9076;9069;9042;9019;9034;9033;9061;9043;9016;9043;9034;9055
1791;8987;9028;9092;9008;9033;9024;9052;9086;9076;8992;9004;8959;9044;9054;9024;8990;9047;9004;9028
1792;8975;9036;9055;9045;9037;9048;9045;9019;9025;9058;9044;9040;9046;9037;9042;9017;9037;9022;9036
1793;9020;8992;8975;8968;9016;9040;9083;9079;9062;9077;9007;8986;8986;9067;9049;9025;9041;9039;9025
1794;9045;9044;9073;9046;9037;9039;9080;9052;9022;9015;9010;9026;9052;9057;9016;8990;9046;8996;9041
1795;8992;8953;8981;9009;9075;9020;9036;9066;9092;9044;9003;9065;9022;9041;9046;9046;9050;9030;9028
1796;9067;9005;8997;9021;9024;9067;9045;9072;9061;9037;8980;8991;9014;9061;9026;9072;9048;9039;9031
1797;9094;9132;8998;8975;9046;9021;9080;9072;9036;9021;9047;9031;9006;9058;9035;9046;9038;9034;9046
1798;9029;9077;8996;9040;9049;9070;9050;9082;9045;9068;8974;8990;9028;9067;9029;9006;9056;9005;9039
1799;9040;8988;8970;8946;9006;9046;9037;9065;9050;9032;9056;8972;8974;9049;9046;8973;9025;8998;9017
