# parameter: Mean temperature
# unit: 0,1 °C
# source: http://www.zamg.ac.at/histalp
# csv-generated: 2014-03-07T19:16:36Z
# station: Hohenpeißenberg
# abbr: HOP
# country_code: DE
# longitude: 11.0200
# latitude: 47.8000
# height: 986.0
# height-unit: m
# missing-value: 999999
#--------------------------------------
year;jan;feb;mar;apr;may;jun;jul;aug;sep;oct;nov;dec;mar-may;jun-aug;sep-nov;dec-feb;apr-sep;oct-mar;jan-dec
1760;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999
1761;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999
1762;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999
1763;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999
1764;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999
1765;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999
1766;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999
1767;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999
1768;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999
1769;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999
1770;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999
1771;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999
1772;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999
1773;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999
1774;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999
1775;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999
1776;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999
1777;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999
1778;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999
1779;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999
1780;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999
1781;-17;-5;27;86;117;138;150;165;125;44;15;12;77;151;61;-16;130;2;71
1782;-9;-51;3;37;88;151;168;142;107;36;-29;-23;43;154;38;-2;116;0;52
1783;8;8;-1;62;103;125;158;142;119;82;11;-24;55;142;71;-39;118;-3;66
1784;-52;-40;4;20;122;126;148;134;142;23;11;-47;49;136;59;-40;115;-24;49
1785;-13;-60;-57;12;85;111;128;130;140;60;22;-19;13;123;74;-18;101;4;45
1786;-10;-25;-2;70;85;133;114;121;93;35;-6;-10;51;123;41;-10;103;6;50
1787;-34;13;35;37;66;135;140;159;119;92;17;39;46;145;76;16;109;30;68
1788;-18;26;25;55;110;142;172;138;134;56;-3;-105;63;151;62;-38;125;-15;61
1789;-9;0;-31;63;125;104;144;142;109;65;3;-3;52;130;59;-2;115;13;59
1790;-9;7;13;34;114;138;133;156;109;84;24;-15;54;142;72;-10;114;16;66
1791;6;-20;17;85;91;124;145;163;110;71;10;-4;64;144;64;-13;120;13;67
1792;-12;-23;34;74;85;132;151;157;98;80;17;-19;64;147;65;-14;116;13;65
1793;-30;6;21;38;83;117;175;171;109;98;37;4;47;154;81;4;116;34;69
1794;-19;28;56;97;102;136;181;139;95;63;31;-34;85;152;63;-38;125;-1;73
1795;-74;-6;13;86;103;136;119;156;138;121;-4;25;67;137;85;24;123;29;68
1796;58;-10;-16;40;100;126;151;144;142;77;4;-29;41;140;74;-12;117;7;66
1797;-17;9;-5;72;127;108;169;163;125;70;44;7;65;147;80;-10;127;15;73
1798;-28;-10;9;62;106;132;145;150;128;72;10;-53;59;142;70;-28;121;0;60
1799;-39;8;4;34;84;109;135;157;115;66;22;-59;41;134;68;-25;106;-1;53
1800;1;-18;-18;117;119;102;149;160;121;58;25;3;73;137;68;-3;128;17;68
1801;0;-11;28;61;115;106;141;136;132;92;36;-15;68;128;87;-27;115;11;68
1802;-48;-17;16;61;95;148;143;184;120;109;20;-12;57;158;83;-33;125;6;68
1803;-40;-47;8;86;71;117;159;156;92;71;23;0;55;144;62;-2;114;15;58
1804;21;-27;4;48;113;133;145;145;129;79;11;-28;55;141;73;-24;119;3;64
1805;-33;-11;-2;33;80;116;133;130;121;41;-18;-26;37;126;48;-5;102;4;47
1806;2;10;13;21;125;131;151;147;120;71;47;41;53;143;79;2;116;16;73
