# parameter: Mean temperature
# unit: 0,1 °C
# source: http://www.zamg.ac.at/histalp
# csv-generated: 2014-03-07T19:17:50Z
# station: München-Stadt
# abbr: MUN
# country_code: DE
# longitude: 11.5500
# latitude: 48.1700
# height: 525.0
# height-unit: m
# missing-value: 999999
#--------------------------------------
year;jan;feb;mar;apr;may;jun;jul;aug;sep;oct;nov;dec;mar-may;jun-aug;sep-nov;dec-feb;apr-sep;oct-mar;jan-dec
1760;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999
1761;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999
1762;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999
1763;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999
1764;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999
1765;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999
1766;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999
1767;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999
1768;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999
1769;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999
1770;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999
1771;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999
1772;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999
1773;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999
1774;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999
1775;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999
1776;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999
1777;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999
1778;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999
1779;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999
1780;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999
1781;-3;7;45;103;140;166;177;192;150;64;26;5;96;178;80;-17;155;10;89
1782;-7;-49;23;60;113;174;191;168;129;56;-14;-18;65;178;57;6;139;13;69
1783;24;11;20;81;135;156;189;171;144;93;20;-32;79;172;86;-45;146;-1;84
1784;-61;-42;17;45;149;156;173;168;162;41;25;-31;70;166;76;-34;142;-13;67
1785;-22;-49;-43;31;112;139;154;154;160;74;27;-13;33;149;87;-13;125;12;60
1786;-18;-8;11;92;111;162;143;149;121;53;-5;-9;71;151;56;-7;130;13;67
1787;-31;19;51;60;97;162;158;179;137;106;33;24;69;166;92;14;132;37;83
1788;5;14;41;77;133;167;199;163;158;77;4;-107;84;176;80;-44;150;-9;78
1789;-39;15;-5;88;151;130;169;170;131;88;28;2;78;156;82;7;140;29;77
1790;3;17;37;64;142;166;155;176;126;90;30;1;81;166;82;6;138;30;84
1791;19;-1;42;106;122;150;170;192;133;91;6;0;90;171;77;-7;146;21;86
1792;-12;-9;52;93;111;158;176;182;122;91;29;-3;85;172;81;-7;140;24;83
1793;-35;16;43;62;112;144;197;191;130;110;45;9;72;177;95;17;139;47;85
1794;11;31;74;119;136;168;208;166;122;95;39;-19;110;181;85;-33;153;11;96
1795;-76;-5;34;107;126;163;146;179;151;130;16;26;89;163;99;29;145;40;83
1796;48;13;7;67;125;151;176;175;164;81;20;-29;66;167;88;-6;143;18;83
1797;-2;12;23;100;155;138;195;191;147;87;50;13;93;175;95;6;154;32;92
1798;-6;12;36;88;134;164;173;181;150;83;23;-42;86;173;85;-26;148;10;83
1799;-50;15;29;59;112;139;162;181;135;84;30;-56;67;161;83;-23;131;8;70
1800;-3;-9;3;140;149;132;175;189;143;76;41;1;97;165;87;2;155;29;86
1801;4;0;54;85;149;141;169;169;151;105;47;-3;96;160;101;-24;144;19;89
1802;-64;-6;37;83;123;170;167;204;141;117;34;-2;81;180;97;-25;148;18;84
1803;-40;-32;29;106;104;148;186;184;118;80;32;4;80;173;77;5;141;24;77
1804;27;-17;18;74;142;162;174;169;149;98;22;-31;78;168;90;-29;145;9;82
1805;-45;-12;21;57;106;144;161;157;145;59;-1;-13;61;154;68;13;128;23;65
1806;25;28;38;50;153;154;167;171;140;84;53;38;80;164;92;8;139;27;92
1807;-27;14;0;64;146;159;208;218;128;108;47;-13;70;195;94;-14;154;17;88
