# parameter: Mean temperature
# unit: 0,1 °C
# source: http://www.zamg.ac.at/histalp
# csv-generated: 2014-03-07T19:31:04Z
# station: Regensburg
# abbr: RBG
# country_code: DE
# longitude: 12.1000
# latitude: 49.0500
# height: 366.0
# height-unit: m
# missing-value: 999999
#--------------------------------------
year;jan;feb;mar;apr;may;jun;jul;aug;sep;oct;nov;dec;mar-may;jun-aug;sep-nov;dec-feb;apr-sep;oct-mar;jan-dec
1760;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999
1761;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999
1762;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999
1763;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999
1764;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999
1765;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999
1766;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999
1767;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999
1768;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999
1769;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999
1770;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999
1771;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999
1772;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999
1773;-10;-22;20;71;132;156;152;157;136;88;23;3;74;155;82;-10;134;21;76
1774;-27;-7;48;99;127;149;167;167;123;65;-28;-54;91;161;53;-25;139;0;69
1775;-39;18;35;54;101;175;174;184;145;75;8;-34;63;178;76;-41;139;1;75
1776;-85;-3;45;77;100;158;172;169;117;52;7;-41;74;166;59;-39;132;-1;64
1777;-49;-27;51;58;126;155;154;181;129;87;26;-41;78;163;81;-27;134;11;71
1778;-23;-16;32;99;150;161;207;185;113;69;27;12;94;184;70;-22;153;13;85
1779;-78;-1;49;110;152;147;162;177;147;100;28;20;104;162;92;-25;149;18;84
1780;-58;-37;57;63;139;167;175;186;146;89;13;-35;86;176;83;-23;146;12;75
1781;-17;-17;39;97;139;170;173;195;159;60;17;-19;92;179;79;-30;156;2;83
1782;-17;-54;22;59;120;175;192;161;129;52;-24;-30;67;176;52;-1;139;7;65
1783;7;20;17;85;147;170;195;178;151;93;17;-45;83;181;87;-61;154;-11;86
1784;-87;-50;8;48;156;166;177;176;165;51;26;-30;71;173;81;-41;148;-16;67
1785;-51;-42;-52;28;122;148;156;148;163;72;24;-13;33;151;86;-16;128;9;59
1786;-28;-7;4;99;116;174;145;149;121;58;-13;-17;73;156;55;-15;134;7;67
1787;-49;22;39;63;103;170;158;176;138;104;32;11;68;168;91;-6;135;24;81
1788;-13;-15;26;75;131;170;194;153;155;79;-6;-119;77;172;76;-57;146;-17;69
1789;-61;10;-6;91;156;142;171;168;131;86;24;-7;80;160;80;-1;143;25;75
1790;-11;14;41;67;150;176;155;170;126;77;18;-3;86;167;74;-1;141;22;82
1791;4;-5;42;105;126;154;170;186;135;88;-10;-5;91;170;71;-16;146;13;83
1792;-33;-10;47;97;121;170;182;183;125;83;23;-3;88;178;77;-15;146;16;82
1793;-51;9;36;60;120;149;193;185;131;106;33;1;72;176;90;8;140;38;81
1794;-7;30;67;121;150;180;209;162;125;98;29;-25;113;184;84;-48;158;2;95
1795;-100;-19;28;107;125;176;146;175;151;120;8;13;87;166;93;21;147;32;78
1796;37;13;-1;73;132;160;180;184;165;86;16;-41;68;175;89;-16;149;14;84
1797;-18;11;27;108;168;150;201;194;146;83;33;5;101;182;87;3;161;26;92
1798;-12;17;32;95;143;180;181;188;151;69;7;-54;90;183;76;-48;156;-8;83
1799;-81;-10;22;55;115;144;159;182;126;75;12;-67;64;162;71;-38;130;-6;61
1800;-27;-20;-7;137;154;137;174;187;138;69;32;-12;95;166;80;-10;155;20;80
1801;-7;-11;48;88;152;146;167;170;147;98;34;-10;96;161;93;-38;145;8;85
1802;-81;-24;30;87;133;176;169;202;142;108;24;-11;83;182;91;-35;152;9;80
1803;-57;-37;24;112;109;150;191;184;121;74;19;-8;82;175;71;-8;145;13;74
1804;6;-23;11;72;146;166;174;166;149;92;7;-41;76;169;83;-41;146;0;77
1805;-58;-25;22;63;109;143;159;148;142;53;-7;-22;65;150;63;3;127;14;61
1806;12;19;31;50;162;157;164;170;144;79;40;25;81;164;88;-3;141;20;88
1807;-36;3;11;61;147;160;206;225;122;98;29;-1;73;197;83;-14;154;14;85
1808;-24;-17;-3;62;167;158;199;190;144;59;19;-83;75;182;74;-30;153;3;73
1809;-34;28;27;49;140;161;179;179;137;74;11;-3;72;173;74;-33;141;5;79
