# parameter: Mean temperature
# unit: 0,1 °C
# source: http://www.zamg.ac.at/histalp
# csv-generated: 2014-03-07T19:40:02Z
# station: Budapest - Lörinc Airport
# abbr: BUD
# country_code: HU
# longitude: 19.2700
# latitude: 47.4300
# height: 130.0
# height-unit: m
# missing-value: 999999
#--------------------------------------
year;jan;feb;mar;apr;may;jun;jul;aug;sep;oct;nov;dec;mar-may;jun-aug;sep-nov;dec-feb;apr-sep;oct-mar;jan-dec
1760;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999
1761;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999
1762;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999
1763;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999
1764;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999
1765;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999
1766;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999
1767;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999
1768;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999
1769;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999
1770;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999
1771;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999
1772;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999
1773;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999
1774;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999
1775;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999
1776;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999
1777;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999
1778;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999
1779;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999
1780;-24;-24;78;85;158;179;208;204;154;111;50;-18;107;197;105;-13;165;30;97
1781;-23;1;61;115;162;203;215;231;186;81;57;-10;113;216;108;-17;185;20;107
1782;-10;-31;34;95;150;197;219;207;155;90;17;0;93;208;87;15;171;31;94
1783;2;42;36;110;174;202;218;207;168;107;29;-55;107;209;101;-39;180;10;103
1784;-49;-14;39;81;171;189;199;208;178;70;34;-4;97;199;94;-28;171;-3;92
1785;-45;-34;-37;83;158;181;201;195;174;96;47;-4;68;192;106;-12;165;27;85
1786;-28;-3;56;108;138;184;196;185;146;71;22;-15;101;188;80;-10;160;22;88
1787;-33;17;68;78;130;188;207;210;147;111;51;22;92;202;103;7;160;42;100
1788;1;-1;69;98;152;204;230;171;171;92;21;-76;106;202;95;-32;171;6;94
1789;-34;13;19;122;184;179;209;191;168;113;50;-12;108;193;110;2;176;38;100
1790;-14;32;58;88;164;211;198;206;146;97;40;23;103;205;94;20;169;44;104
1791;29;9;66;121;151;184;214;223;151;100;39;16;113;207;97;0;174;31;109
1792;-8;-8;46;110;146;196;216;200;165;90;34;2;101;204;96;-5;172;25;99
1793;-37;19;42;88;139;171;223;211;160;113;46;19;90;202;106;20;165;48;100
1794;1;40;69;149;172;206;245;194;145;97;42;-18;130;215;95;-38;185;12;112
1795;-87;-8;47;126;154;202;188;207;160;133;25;23;109;199;106;27;173;43;98
1796;38;19;20;83;161;186;210;211;185;105;35;-25;88;202;108;-6;173;26;102
1797;-9;17;35;130;190;195;230;223;187;118;45;8;118;216;117;14;193;44;114
1798;-4;38;60;111;159;197;210;212;182;103;29;-52;110;206;105;-51;179;2;104
1799;-77;-23;34;94;149;172;200;209;157;122;44;-43;92;194;108;-20;164;17;87
1800;-15;-3;-4;171;184;163;196;210;167;105;64;-1;117;190;112;-1;182;41;103
1801;4;-6;82;107;183;173;195;191;180;131;63;9;124;186;125;1;172;42;109
1802;-19;14;53;106;152;202;214;220;169;139;68;15;104;212;125;-17;177;34;111
1803;-47;-20;47;130;138;180;211;205;140;96;57;-1;105;199;98;7;167;33;95
1804;29;-6;22;114;164;182;212;195;180;115;16;-34;100;196;104;-19;175;19;99
1805;-21;-2;37;86;140;167;195;180;167;72;11;-1;88;181;83;19;156;33;86
1806;37;20;57;78;168;177;205;185;170;87;61;39;101;189;106;18;164;38;107
1807;0;16;24;84;174;173;215;249;160;119;66;1;94;212;115;-5;176;25;107
