# parameter: Mean temperature
# unit: 0,1 °C
# source: http://www.zamg.ac.at/histalp
# csv-generated: 2014-03-07T19:47:49Z
# station: Milano-Brera
# abbr: MIL
# country_code: IT
# longitude: 9.1900
# latitude: 45.4700
# height: 122.0
# height-unit: m
# missing-value: 999999
#--------------------------------------
year;jan;feb;mar;apr;may;jun;jul;aug;sep;oct;nov;dec;mar-may;jun-aug;sep-nov;dec-feb;apr-sep;oct-mar;jan-dec
1760;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999
1761;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999
1762;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999
1763;-7;65;80;132;148;205;241;240;175;108;59;35;120;229;114;43;190;61;123
1764;27;67;69;120;194;226;235;215;175;113;67;42;128;225;118;44;194;68;129
1765;57;33;96;134;170;215;218;217;187;134;69;9;133;217;130;4;190;50;128
1766;-23;25;88;134;175;225;226;232;186;133;93;17;132;228;137;14;196;60;126
1767;-45;69;91;116;162;199;240;220;186;136;81;7;123;220;134;10;187;53;122
1768;-6;30;72;138;180;199;245;241;174;131;74;12;130;228;126;28;196;61;124
1769;34;38;78;130;172;204;223;221;190;96;80;32;127;216;122;30;190;58;125
1770;4;54;79;118;162;204;220;223;202;130;77;16;120;216;136;27;188;61;124
1771;31;35;75;104;185;193;238;227;187;132;50;37;121;219;123;47;189;72;125
1772;29;76;109;129;162;223;242;227;185;145;92;39;133;231;141;33;195;69;138
1773;30;31;74;123;164;194;216;210;189;145;69;48;120;207;134;37;183;70;124
1774;13;51;93;132;162;208;227;239;176;110;57;-10;129;225;114;24;191;56;122
1775;15;67;98;127;162;214;242;221;191;141;73;13;129;226;135;23;193;64;130
1776;3;52;101;134;153;207;235;227;165;126;65;9;129;223;119;13;187;56;123
1777;-11;40;105;119;154;195;218;228;185;128;81;-2;126;214;131;17;183;59;120
1778;14;40;91;140;176;199;244;234;174;120;72;46;136;226;122;37;195;67;129
1779;-1;67;97;154;191;187;232;221;201;155;83;58;147;213;146;27;198;72;137
1780;5;18;115;117;190;224;239;224;175;147;62;15;141;229;128;24;195;64;128
1781;9;47;103;142;181;205;245;230;185;115;66;44;142;227;122;24;198;55;131
1782;16;11;75;109;157;231;252;233;176;103;33;18;114;239;104;36;193;56;118
1783;33;57;90;141;164;198;245;219;186;145;67;21;132;221;133;14;192;56;131
1784;5;16;79;99;202;219;248;211;200;108;59;9;127;226;122;18;197;44;121
1785;17;28;42;106;178;220;236;221;213;126;74;47;109;226;138;36;196;63;126
1786;12;49;71;131;177;214;223;211;176;101;58;20;126;216;112;30;189;57;120
1787;26;44;95;122;156;227;229;243;182;135;77;48;124;233;131;49;193;79;132
1788;44;56;112;138;179;226;256;222;194;127;54;6;143;235;125;18;203;50;135
1789;-6;55;62;140;195;193;232;225;185;127;48;-4;132;217;120;26;195;57;121
1790;19;64;87;102;180;214;226;238;187;155;84;21;123;226;142;41;191;77;131
1791;47;54;101;151;168;203;232;242;191;123;58;43;140;226;124;33;198;64;134
1792;17;40;104;150;172;212;240;227;181;134;70;19;142;226;128;19;197;59;131
1793;-10;49;91;109;157;212;255;250;193;142;83;50;119;239;139;58;196;85;132
1794;45;80;111;159;172;218;255;226;170;122;87;13;147;233;126;-2;200;48;138
1795;-41;23;83;140;198;203;217;237;191;154;62;40;140;219;136;44;198;69;126
1796;37;55;68;124;167;210;233;236;201;140;81;4;120;226;141;22;195;59;130
1797;17;44;69;135;191;190;246;249;198;122;76;38;132;228;132;45;202;70;131
1798;29;67;87;131;184;209;237;232;202;121;61;-4;134;226;128;-1;199;46;130
1799;-33;34;95;112;163;194;224;229;191;132;62;7;123;216;128;38;186;63;118
1800;50;56;73;161;190;199;237;224;190;129;86;25;141;220;135;34;200;73;135
1801;23;55;117;146;189;207;226;221;190;134;84;22;151;218;136;28;197;67;135
1802;8;55;97;138;170;233;235;254;197;160;75;41;135;241;144;22;205;66;139
1803;35;-9;93;151;154;228;242;240;174;126;73;34;133;237;124;38;198;66;128
1804;56;25;79;127;191;236;230;220;203;135;59;20;132;229;132;21;201;57;132
1805;3;40;85;102;165;213;226;221;194;111;40;3;117;220;115;28;187;54;117
1806;18;64;88;108;180;223;229;224;191;133;82;45;125;225;135;35;193;63;132
1807;14;46;56;110;191;211;247;259;187;153;81;20;119;239;140;17;201;54;131
1808;10;20;39;111;197;194;249;236;190;97;67;-5;116;226;118;29;196;57;117
1809;27;66;89;94;184;214;226;229;177;124;51;25;122;223;117;21;187;58;126
1810;7;32;111;124;178;192;226;216;191;140;68;45;138;211;133;33;188;69;128
1811;-4;59;108;144;197;228;247;219;188;153;80;15;150;231;140;10;204;57;136
1812;-33;47;82;105;186;215;222;218;166;126;48;-9;124;218;113;17;185;53;114
1813;4;55;92;140;194;188;205;212;170;128;64;39;142;202;121;9;185;48;124
1814;4;-15;69;137;150;197;231;211;160;116;76;44;119;213;117;28;181;64;115
1815;-8;47;110;136;190;204;217;209;188;135;48;-1;145;210;124;5;191;45;123
1816;1;14;74;117;166;191;204;201;172;130;55;3;119;199;119;33;175;63;111
