# parameter: Mean temperature
# unit: 0,1 °C
# source: http://www.zamg.ac.at/histalp
# csv-generated: 2014-03-07T19:52:41Z
# station: Verona-Villafranca airport
# abbr: VER
# country_code: IT
# longitude: 10.8700
# latitude: 45.3800
# height: 67.0
# height-unit: m
# missing-value: 999999
#--------------------------------------
year;jan;feb;mar;apr;may;jun;jul;aug;sep;oct;nov;dec;mar-may;jun-aug;sep-nov;dec-feb;apr-sep;oct-mar;jan-dec
1760;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999
1761;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999
1762;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999
1763;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999
1764;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999
1765;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999
1766;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999
1767;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999
1768;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999
1769;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999
1770;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999
1771;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999
1772;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999
1773;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999
1774;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999
1775;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999
1776;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999
1777;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999
1778;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999
1779;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999
1780;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999
1781;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999
1782;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999
1783;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999
1784;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999
1785;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999
1786;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999
1787;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999
1788;32;47;110;131;175;215;248;214;192;126;45;-18;139;226;121;6;196;41;126
1789;-11;46;57;131;192;185;233;225;184;131;46;3;127;214;120;18;192;52;119
1790;5;47;77;99;172;217;221;239;188;158;83;28;116;226;143;36;189;73;128
1791;37;42;90;146;155;193;233;239;184;128;67;42;130;222;126;28;192;62;130
1792;17;25;94;138;163;213;238;229;178;138;68;10;132;227;128;18;193;57;126
1793;1;43;81;102;150;202;254;241;190;141;85;48;111;232;139;50;190;79;128
1794;39;62;97;152;171;204;244;217;159;116;82;25;140;222;119;5;191;48;131
1795;-26;15;77;128;187;194;205;236;184;149;62;40;131;212;132;41;189;66;121
1796;36;48;63;113;151;209;230;233;200;135;74;2;109;224;136;22;189;57;125
1797;18;45;67;138;187;197;246;250;207;142;90;47;131;231;146;35;204;69;136
1798;9;48;75;127;174;205;236;240;198;131;66;-12;125;227;132;-10;197;42;125
1799;-52;33;83;106;161;190;228;224;192;126;55;-2;117;214;124;31;184;55;112
1800;41;54;53;154;188;195;231;234;188;123;81;27;132;220;131;29;198;66;131
1801;12;47;107;137;184;205;229;222;193;138;88;21;143;219;140;24;195;64;132
1802;7;44;85;126;156;211;237;248;195;158;69;32;122;232;141;13;196;56;131
1803;24;-18;73;144;151;214;229;238;169;124;64;26;123;227;119;34;191;60;120
1804;51;26;66;124;188;229;229;221;201;138;61;22;126;226;133;21;199;56;130
1805;5;35;76;97;156;200;211;219;187;110;39;11;110;210;112;31;178;54;112
